date,count,mean,median,std
2025-01,4918,2255.9670475803173,1915.2,1454.2749518596302
2025-02,4337,2273.804800553378,1994.25,1317.0771053836581
2025-03,5036,2372.2680917394755,2022.92,1462.531615319941
2025-04,4819,2372.1623075326834,2044.24,1463.1024566793426
2025-05,4913,2421.776342357012,2065.51,1486.0714363546383
2025-06,4783,2497.0301149905913,2120.22,1606.7073017039615
2025-07,4912,2415.162029723127,2059.145,1504.9432956965954
2025-08,4759,2338.407661273377,2015.73,1474.9796724454252
2025-09,4670,2406.374012847966,2057.13,1523.4839828641905
2025-10,4853,2379.051374407583,2035.9,1528.714038451293
