posted_rate,rows,actual_mean,predicted_mean,mae,mean_signed_error
"(104.37899999999999, 808.37]",953,570.6664637985309,604.7319867293619,168.02812242119606,34.065522930830895
"(808.37, 1106.968]",952,959.1356512605042,967.4096339162303,99.98277060977905,8.27398265572606
"(1106.968, 1401.906]",952,1249.487300420168,1249.3898821961182,76.04259378915573,-0.0974182240500361
"(1401.906, 1714.204]",952,1560.3064075630252,1551.6047298570038,62.4749135634293,-8.701677706021544
"(1714.204, 2044.32]",953,1879.1261070304301,1872.316661024296,65.43610846018008,-6.809446006134066
"(2044.32, 2421.498]",952,2222.487962184874,2190.935270423161,59.74889111076333,-31.55269176171308
"(2421.498, 2974.21]",952,2679.084600840336,2618.271661500933,80.52048762049053,-60.81293933940286
"(2974.21, 3712.884]",952,3339.6782142857146,3252.5517870378553,112.39129598516564,-87.12642724785876
"(3712.884, 4426.256]",952,4059.333487394958,3950.115388657146,151.0375027626591,-109.21809873781211
"(4426.256, 20361.89]",953,5404.484438614901,4837.55688958197,620.8659664240627,-566.9275490329305
